Region,Year,DataType,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
North America,1970,Historical,7941308.0,0.019992682926829267,114666.75609756098,15413.646341463415,25.843902439024387,4.2421951219512195,151.58536585365854,0.5130487804878049,220004303.0,0.0021414634146341466,3700437046.0,160.34146341463415
North America,1975,Historical,8534006.975609757,0.018734146341463413,118539.85365853658,21177.59756097561,26.329268292682926,3.8617073170731704,162.78048780487805,0.5339024390243903,239444559.0,0.0020853658536585363,4079480606.0,160.3170731707317
North America,1980,Historical,9140123.853658536,0.016148780487804878,121223.41463414633,21233.841463414636,27.185365853658535,3.4736585365853654,173.4878048780488,0.5540243902439025,259817660.0,0.0020414634146341468,4458003514.0,161.02439024390245
North America,1985,Historical,9766713.658536585,0.016824390243902438,125317.9268292683,17640.817073170732,28.070731707317076,3.221219512195122,187.17073170731706,0.5769024390243902,282364589.0,0.002004878048780488,4870921740.0,161.3170731707317
North America,1990,Historical,10420173.536585366,0.023595121951219513,130692.0243902439,17178.475609756097,29.14390243902439,3.0168292682926827,212.8780487804878,0.5937560975609757,306491358.0,0.001948780487804878,5327231061.0,161.41463414634146
North America,1995,Historical,11101695.0,0.014585365853658536,136304.29268292684,21094.40243902439,30.18780487804878,2.83,223.90243902439025,0.6075121951219512,335520693.0,0.001926829268292683,5744212979.0,160.9512195121951
North America,2000,Historical,11850029.121951219,0.009553658536585366,149666.8536585366,41188.5,31.29268292682927,2.636829268292683,234.09756097560975,0.6156829268292683,366371204.0,0.001924390243902439,6143493823.0,161.390243902439
North America,2005,Historical,12511793.365853658,0.012039024390243902,132352.8780487805,25541.865853658535,32.44634146341463,2.4743902439024392,245.5121951219512,0.621670731707317,392230834.0,0.001904878048780488,6541907027.0,161.58536585365854
North America,2010,Historical,13221856.048780488,0.012570731707317073,142012.53658536586,36267.060975609755,33.702439024390245,2.377317073170732,255.3658536585366,0.6278658536585365,420895615.0,0.0018951219512195123,6956823603.0,161.78048780487805
North America,2015,Historical,13868354.512195121,0.008109756097560976,129299.68292682926,35139.20731707317,34.921951219512195,2.2892682926829266,263.4634146341463,0.6349512195121951,447142227.5,0.001875609756097561,7379797139.0,162.17073170731706
North America,2016,Historical,13987910.878048781,0.006778048780487805,119556.36585365854,33976.28048780488,35.139024390243904,2.2717073170731705,264.7317073170732,0.6372926829268293,452602156.5,0.0018707317073170732,7464022049.0,162.2439024390244
North America,2017,Historical,14104182.268292682,0.00645609756097561,116271.39024390244,33976.28048780488,35.139024390243904,2.2717073170731705,266.0243902439024,0.6395609756097561,458092226.5,0.0018609756097560973,7547858925.0,162.29268292682926
North America,2018,Historical,14217843.902439024,0.006278048780487805,113661.63414634146,33976.28048780488,35.139024390243904,2.2717073170731705,267.3658536585366,0.6419756097560976,463609750.5,0.0018634146341463414,7631091040.0,162.34146341463415
North America,2019,Historical,14329816.463414634,0.006131707317073171,111972.56097560975,33976.28048780488,35.139024390243904,2.2717073170731705,268.5121951219512,0.6443414634146342,469149426.5,0.0018609756097560973,7713468100.0,162.3170731707317
North America,2020,Forecasted,14440785.658536585,0.006353658536585366,114486.26829268293,33976.28048780488,36.046341463414635,2.2048780487804875,269.8536585365854,0.6474512195121951,474715384.0,0.0018536585365853662,7794798739.0,162.4390243902439
North America,2020,Historical,21909254.740740743,0.006096296296296296,168380.62962962964,32758.51851851852,34.3074074074074,2.0107407407407405,230.25925925925927,0.6466481481481481,474336838.0,0.002814814814814815,7794798739.0,134.33333333333334
North America,2025,Forecasted,14981399.975609757,0.005946341463414634,108122.82926829268,36426.329268292684,36.99268292682927,2.2048780487804875,276.9756097560976,0.6586219512195122,502625760.0,0.0018292682926829267,8184437460.0,162.2439024390244
North America,2030,Forecasted,15487782.07317073,0.0047,101276.46341463414,38444.743902439026,37.858536585365854,2.2048780487804875,282.7560975609756,0.6712073170731707,529976469.0,0.0018073170731707318,8548487400.0,162.58536585365854
North America,2035,Forecasted,15955860.853658536,0.0033414634146341467,93615.73170731707,39918.865853658535,38.72682926829268,2.2048780487804875,286.8292682926829,0.6833780487804878,555736625.0,0.0017926829268292682,8887524213.0,162.82926829268294
North America,2040,Forecasted,16358245.536585366,0.0021146341463414635,80476.9268292683,40617.81707317073,39.58048780487805,2.2048780487804875,289.4390243902439,0.6964268292682927,579397217.0,0.0017707317073170732,9198847240.0,163.1951219512195
North America,2045,Forecasted,16695799.585365854,0.000878048780487805,67510.85365853658,41050.01219512195,40.39756097560976,2.2048780487804875,290.6341463414634,0.7096707317073171,600814261.0,0.0017512195121951216,9481803274.0,163.34146341463415
North America,2050,Forecasted,16979532.609756097,-0.00021951219512195125,56746.60975609756,39028.5,41.19024390243902,2.2048780487804875,290.4878048780488,0.7219512195121952,620388848.5,0.0017365853658536585,9735033990.0,163.70731707317074
Oceania,1955,Historical,659372.5,0.019386363636363636,12960.954545454546,-10996.136363636364,25.75909090909091,4.852727272727273,52.86363636363637,0.31536363636363635,9215892.0,0.00022727272727272727,2773019936.0,186.8181818181818
Oceania,1960,Historical,734011.5,0.023322727272727273,14927.863636363636,-11059.818181818182,25.427272727272726,4.915454545454545,58.63636363636363,0.34195454545454546,10635282.0,0.00022727272727272727,3034949748.0,186.63636363636363
Oceania,1965,Historical,814157.5909090909,0.024781818181818183,16029.136363636364,-10819.045454545454,25.104545454545452,4.845454545454545,66.63636363636364,0.3097727272727273,12060673.0,0.00022727272727272727,3339583597.0,186.8181818181818
Oceania,1970,Historical,912803.3181818182,0.019954545454545454,19729.090909090908,-7641.772727272727,25.077272727272728,4.558636363636364,71.81818181818181,0.40586363636363637,13912971.0,0.00023636363636363636,3700437046.0,186.8181818181818
Oceania,1975,Historical,994968.5,0.016727272727272726,16433.0,-12153.863636363636,25.33181818181818,4.317727272727272,77.27272727272727,0.4414090909090909,15366704.0,0.00023181818181818183,4079480606.0,186.77272727272728
Oceania,1980,Historical,1064091.5,0.015495454545454545,13824.59090909091,-13959.363636363636,25.795454545454547,4.0640909090909085,84.77272727272727,0.45809090909090905,16456731.0,0.00022727272727272727,4458003514.0,187.22727272727272
Oceania,1985,Historical,1153689.2272727273,0.02191818181818182,17919.454545454544,-11037.818181818182,26.245454545454546,3.8668181818181817,94.9090909090909,0.47100000000000003,17734375.0,0.00022272727272727272,4870921740.0,187.3181818181818
Oceania,1990,Historical,1253264.1363636365,0.0183,19915.18181818182,-9814.90909090909,26.854545454545452,3.6986363636363637,105.27272727272727,0.4779090909090909,19235362.0,0.00022272727272727272,5327231061.0,187.4090909090909
Oceania,1995,Historical,1349267.6818181819,0.0131,19200.68181818182,-11464.0,27.318181818181817,3.5477272727272724,112.22727272727273,0.48765909090909093,20477333.0,0.00021818181818181816,5744212979.0,187.13636363636363
Oceania,2000,Historical,1442938.8636363635,0.010736363636363638,18734.272727272728,-12001.636363636364,27.886363636363637,3.395,115.72727272727273,0.5021136363636364,21550528.0,0.00022272727272727272,6143493823.0,187.1818181818182
Oceania,2005,Historical,1546491.0454545454,0.006318181818181817,20710.5,-10234.863636363636,28.55909090909091,3.2845454545454547,117.04545454545455,0.5108863636363636,23045483.0,0.00022272727272727272,6541907027.0,187.4090909090909
Oceania,2010,Historical,1691712.2727272727,0.004522727272727273,29044.227272727272,-3995.181818181818,29.122727272727275,3.23,118.5,0.5310909090909091,25201659.0,0.00023181818181818183,6956823603.0,187.77272727272728
Oceania,2015,Historical,1828044.7272727273,0.008127272727272728,27266.590909090908,-6151.090909090909,29.531818181818185,3.1554545454545457,122.27272727272727,0.5463181818181818,27214497.0,0.00023181818181818183,7379797139.0,187.54545454545453
Oceania,2016,Historical,1854431.9545454546,0.009018181818181818,26387.227272727272,-7712.818181818182,29.627272727272725,3.1377272727272727,123.27272727272727,0.5491363636363636,27614353.0,0.00023636363636363636,7464022049.0,187.45454545454547
Oceania,2017,Historical,1880560.2272727273,0.008845454545454545,26128.272727272728,-7712.818181818182,29.627272727272725,3.1377272727272727,124.31818181818181,0.5516818181818182,28015974.0,0.00023636363636363636,7547858925.0,187.4090909090909
